מחוז,רשות,אשכול,סמל,מודל,שם מוסד,סוג חינוך,סוג מוסד,מחיר,כמות ילדים ,ת. הרשמה ,ת. התחלה,ת.סיום
מרכז,בני ברק ,3,738799,1,ותתפלל חנה ,רגיל ,גן ,500,22,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,511253,2,פנינת בית יעקב ,רגיל ,"בי""ס ",500,56,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,732545,1,אוהלי אברהם ,רגיל ,גן ,500,29,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,727834,1,ותתפלל חנה ,רגיל ,גן,500,30,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,729236,5,תפארת שרה ,רגיל,"בי""ס יוח""א ",0,39,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,737272,1,ותתפלל חנה ,רגיל ,גן ,500,29,29/07/2018,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,123323,7,גן הרמוני,מיוחד,גן ,500,12,29/07/2018,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,177980,7,סולם,מיוחד,גן ,500,12,29/07/2018,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,178004,7,סולם,מיוחד,גן ,500,21,29/07/2018,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,178020,7,סולם,מיוחד,גן ,500,12,29/07/2018,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,183871,7,גן הרמוני,מיוחד,גן ,500,12,29/07/2019,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,37325,7,גן הרמוני,מיוחד,גן ,500,12,29/07/2019,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,373852,7,סולם,מיוחד,גן ,500,12,29/07/2019,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,378000,7,סולם,מיוחד,גן ,500,12,29/07/2019,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,713420,7,סולם,מיוחד,גן ,500,12,29/07/2019,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,715128,7,סולם,מיוחד,גן ,500,12,29/07/2019,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,123315,1,גן הרמוני ,רגיל,גן ,500,23,29/07/2019,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,315325,7,סולם,מיוחד,גן ,500,12,29/07/2019,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,177998,7,סולם,מיוחד,גן ,500,12,29/07/2019,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,377986,7,סולם,מיוחד,גן ,500,12,29/07/2019,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,377994,7,סולם,מיוחד,גן ,500,12,29/07/2019,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,178012,7,סולם,מיוחד,גן ,500,12,29/07/2019,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,315424,7,סולם,מיוחד,גן ,500,12,29/07/2019,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,454777,7,סולם,מיוחד,גן ,500,12,29/07/2019,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,731091,7,סולם,מיוחד,גן ,500,12,29/07/2019,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,423301,7,סולם,מיוחד,גן ,500,12,29/07/2019,01/09/2018,30/06/2019
ירושלים ,ירושלים,3,423293,7,סולם,מיוחד,גן ,500,12,29/07/2019,01/09/2018,30/06/2019
דרום,נתיבות,3,21535,1,מעיין החינוך התורני אוסנת,רגיל,גן,500,37,29/07/2019,01/09/2018,30/06/2019
